gender,worthChange,name,timestamp,industry,lastName,uri,imageUri,realTimeWorth,source,realTimePosition,squareImage,realTimeRank,country,age,title,headquarters,state,rank,worth,government,position,pay,managementAssets,salary
F,-1.302,Agnete Kirk Thinggaard,1531878901818,Manufacturing,Thinggaard,agnete-kirk-thinggaard,http://i.forbesimg.com/media/lists/people/no-pic-female_100x100.jpg,5257.415,Lego,365,//specials-images.forbesimg.com/imageserve/5a87083431358e4955ad9fd8/416x416.jpg?background=000000&cropX1=546&cropX2=1857&cropY1=0&cropY2=1312,365,Denmark,,,,,,,,,,,
M,0.0,Alberto Palatchi,1531878901818,Fashion & Retail,Palatchi,alberto-palatchi,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,1049.286,wedding dresses,2055,//specials-images.forbesimg.com/imageserve/5a810c2aa7ea431690133fce/416x416.jpg?background=000000&cropX1=937&cropX2=3124&cropY1=206&cropY2=2395,2055,Spain,69,,,,,,,,,,
M,0.483,Alexander Otto,1531878901818,Real Estate,Otto,alexander-otto,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,11505.786,real estate,128,//specials-images.forbesimg.com/imageserve/5a7e04f431358e4955ad0c06/416x416.jpg?background=000000&cropX1=126&cropX2=900&cropY1=176&cropY2=950,128,Germany,51,,,,,,,,,,
M,0.512,Alexander Samwer,1531878901818,Technology,Samwer,alexander-samwer,http://i.forbesimg.com/media/lists/people/alexander-samwer_100x100.jpg,1265.715,tech investments,1813,//specials-images.forbesimg.com/imageserve/5a7e055ea7ea431690131ce8/416x416.jpg?background=000000&cropX1=8&cropX2=1711&cropY1=127&cropY2=1829,1813,Germany,43,"Cofounder, Rocket Internet",,,,,,,,,
M,0.0,Alexey Repik,1531878901818,Healthcare,Repik,alexey-repik,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,2114.0,pharmaceuticals,1146,//specials-images.forbesimg.com/imageserve/5a8090244bbe6f2652f53d39/416x416.jpg?background=000000&cropX1=737&cropX2=3371&cropY1=34&cropY2=2667,1146,Russia,38,,,,,,,,,,
M,0.412,Alfred West Jr,1531878901818,Finance and Investments,West,alfred-west-jr,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,1057.823,money management,2052,,2052,United States,75,,PA,Pennsylvania,,,,,,,
F,-21.864,Alice Schwartz,1531878901818,Healthcare,Schwartz,alice-schwartz,http://i.forbesimg.com/media/lists/people/no-pic-female_100x100.jpg,1270.242,biotech,1808,,1808,United States,92,,CA,California,,,,,,,
M,29.724,Amit Burman,1531878901818,Food and Beverage,Burman,amit-burman,http://i.forbesimg.com/media/lists/people/amit-burman_100x100.jpg,1260.963,consumer goods,1818,//specials-images.forbesimg.com/imageserve/5a7f046b31358e4955ad1737/416x416.jpg?background=000000&cropX1=686&cropX2=3522&cropY1=12&cropY2=2848,1818,India,49,,,,,,,,,,
M,-10.328,Anant Asavabhokhin & family,1531878901818,Real Estate,Asavabhokhin,anant-asavabhokhin,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,1448.15,real estate,1612,//specials-images.forbesimg.com/imageserve/5ae0e71ca7ea43127982a6f6/416x416.jpg?background=000000&cropX1=909&cropX2=1588&cropY1=17&cropY2=696,1612,Thailand,67,,,,,,,,,,
M,20.875,Andre Koo,1531878901818,Finance and Investments,Koo,andre-koo,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,1432.414,financial services,1623,//specials-images.forbesimg.com/imageserve/5a871ca14bbe6f2652f5c25b/416x416.jpg?background=000000&cropX1=4&cropX2=902&cropY1=83&cropY2=981,1623,Taiwan,51,,,,,,,,,,
M,0.0,Andreas Pohl,1531878901818,Finance and Investments,Pohl,andreas-pohl,http://i.forbesimg.com/media/lists/people/andreas-pohl_100x100.jpg,1108.204,mutual funds,1994,,1994,Germany,53,,,,,,,,,,
M,-2.469,Andrei Filatov,1531878901818,Logistics,Filatov,andrei-filatov,http://i.forbesimg.com/media/lists/people/andrei-filatov_100x100.jpg,1155.237,"ports, railway transport",1943,//specials-images.forbesimg.com/imageserve/5a8094b44bbe6f2652f53d5f/416x416.jpg?background=000000&cropX1=1067&cropX2=3230&cropY1=129&cropY2=2291,1943,Russia,46,,,,,,,,,,
M,0.0,Andrey Andreev,1531878901818,Technology,Andreev,andrey-andreev,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,1539.0,online dating,1533,//specials-images.forbesimg.com/imageserve/5a809c48a7ea431690133a7f/416x416.jpg?background=000000&cropX1=664&cropX2=2511&cropY1=81&cropY2=1927,1533,United Kingdom,44,,,,,,,,,,
M,3.214,Anton Rabie,1531878901818,Manufacturing,Rabie,anton-rabie,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,1409.924,toys,1649,//specials-images.forbesimg.com/imageserve/5a9827414bbe6f0fa82705bd/416x416.jpg?background=000000&cropX1=0&cropX2=1200&cropY1=105&cropY2=1305,1649,Canada,46,,,Ontario,,,,,,,
F,-5.273,Anu Aga,1531878901818,Construction & Engineering,Aga,anu-aga,http://i.forbesimg.com/media/lists/people/anu-aga_100x100.jpg,1102.861,engineering,2000,//specials-images.forbesimg.com/imageserve/5a7f0b2fa7ea43169013281b/416x416.jpg?background=000000&cropX1=3&cropX2=174&cropY1=2&cropY2=173,2000,India,75,,,,,,,,,,
M,9.341,Anurang Jain,1531878901818,Manufacturing,Jain,anurang-jain-1,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,1535.177,auto parts,1539,,1539,India,56,,,,,,,,,,
M,-24.18,Arash Ferdowsi,1531878901818,Technology,Ferdowsi,arash-ferdowsi,http://i.forbesimg.com/media/lists/people/arash-ferdowsi_100x100.jpg,1268.35,online file storage,1811,,1811,United States,32,,CA,California,,,,,,,
M,26.785,Arvind Poddar,1531878901818,Automotive,Poddar,arvind-poddar,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,1943.262,tires,1253,//specials-images.forbesimg.com/imageserve/59cc1d9b31358e542c02fcb0/416x416.jpg?background=000000&cropX1=43&cropX2=2087&cropY1=141&cropY2=2185,1253,India,60,,,,,,,,,,
M,0.0,Ayhan Tosyali,1531878901818,Metals & Mining,Tosyali,ayhan-tosyali,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,1191.108,steel,1889,,1889,Turkey,54,,,,,,,,,,
M,0.0,Ayman Hariri,1531878901818,Construction & Engineering,Hariri,ayman-hariri,http://i.forbesimg.com/media/lists/people/ayman-hariri_100x100.jpg,1332.25,"construction, investments",1743,//specials-images.forbesimg.com/imageserve/5a7fc0cca7ea4316901330fe/416x416.jpg?background=000000&cropX1=704&cropX2=2590&cropY1=767&cropY2=2654,1743,Lebanon,40,,,,,,,,,,
M,0.0,Ba Duong Tran & family,1531878901818,Automotive,Tran,ba-duong-tran,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,1734.453,automotive,1375,,1375,Vietnam,58,,,,,,,,,,
M,8.746,Banthoon Lamsam & family,1531878901818,Finance and Investments,Lamsam,banthoon-lamsam,http://i.forbesimg.com/media/lists/people/banthoon-lamsam_100x100.jpg,1157.775,banking,1938,//specials-images.forbesimg.com/imageserve/5ad8e8bea7ea432fbc1f6f2f/416x416.jpg?background=000000&cropX1=1091&cropX2=2771&cropY1=434&cropY2=2113,1938,Thailand,65,,,,,,,,,,
M,-5.394,Basudeo Singh,1531878901818,Healthcare,Singh,basudeo-singh,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,1002.883,pharmaceuticals,2105,,2105,India,77,,,,,,,,,,
M,0.0,Ben Ashkenazy,1531878901818,Real Estate,Ashkenazy,ben-ashkenazy,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,4000.0,real estate,558,//specials-images.forbesimg.com/imageserve/59ef795e4bbe6f37dda1056d/416x416.jpg?background=000000&cropX1=1613&cropX2=3298&cropY1=1291&cropY2=2975,558,United States,48,,NY,New York,,,,,,,
M,0.0,Bert Beveridge,1531878901818,Food and Beverage,Beveridge,bert-beveridge,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,2444.182,vodka,1008,//specials-images.forbesimg.com/imageserve/59dfbb6c4bbe6f37dda06543/416x416.jpg?background=000000&cropX1=767&cropX2=1418&cropY1=488&cropY2=1139,1008,United States,56,,TX,Texas,,,,,,,
F,0.0,Bianca Rinehart,1531878901818,Metals & Mining,Rinehart,bianca-rinehart-1,http://i.forbesimg.com/media/lists/people/no-pic-female_100x100.jpg,1270.625,trust fund,1806,//specials-images.forbesimg.com/imageserve/5a7a4b8da7ea43169012d8be/416x416.jpg?background=000000&cropX1=0&cropX2=1605&cropY1=271&cropY2=1877,1806,Australia,41,,,,,,,,,,
M,-3.381,Bill Adderley & family,1531878901818,Fashion & Retail,Adderley,bill-adderley,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,1121.51,home furnishings,1975,,1975,United Kingdom,70,,,,,,,,,,
M,0.0,Bob Gaglardi,1531878901818,Real Estate,Gaglardi,bob-gaglardi,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,2005.486,hotels,1210,,1210,Canada,77,,,British Columbia,,,,,,,
M,0.0,Boris Zingarevich,1531878901818,Diversified,Zingarevich,boris-zingarevich,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,1035.0,"pulp and paper, diversified",2075,//specials-images.forbesimg.com/imageserve/5ad8b4844bbe6f2310f30482/416x416.jpg?background=000000&cropX1=1177&cropX2=4510&cropY1=247&cropY2=3577,2075,Russia,59,,,,,,,,,,
M,17.978,Bradley Jacobs,1531878901818,Logistics,Jacobs,bradley-jacobs,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,2576.377,logistics,952,//specials-images.forbesimg.com/imageserve/5a9ee3204bbe6f0fa82788fa/416x416.jpg?background=000000&cropX1=0&cropX2=1200&cropY1=23&cropY2=1224,952,United States,62,,CT,Connecticut,,,,,,,
M,-1.282,Brett Blundy,1531878901818,Fashion & Retail,Blundy,brett-blundy,http://i.forbesimg.com/media/lists/people/brett-blundy_100x100.jpg,1318.742,"retail, agribusiness",1757,//specials-images.forbesimg.com/imageserve/56a03e89e4b0ed854f529426/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=232&cropY2=976,1757,Australia,58,,,,,,,,,,
F,3.692,Bu Yang,1531878901818,Fashion & Retail,Bu,bu-yang,http://i.forbesimg.com/media/lists/people/no-pic-female_100x100.jpg,1224.985,retail,1847,,1847,China,,,,Jiangsu,,,,,,,
M,-91.045,Cai Dongchen,1531878901818,Healthcare,Cai,cai-dongchen,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,4055.108,pharmaceuticals,550,//specials-images.forbesimg.com/imageserve/5a8df4f031358e4955adff5c/416x416.jpg?background=000000&cropX1=103&cropX2=948&cropY1=5&cropY2=851,550,China,65,,,Hebei,,,,,,,
